EntityKey,AccountKey,IdentifierValue,IdentifierValueSSN,AddressKey,AccountPeriodKey,CaseID
1453616,6726129,474290640,474-29-0640,6618738,5626699,3519378
1453617,6726128,628016414,628-01-6414,6618696,5626700,3519379
1453618,6726127,221601696,221-60-1696,6452878,5626701,3519380
1453619,6726126,742005520,742-00-5520,6618973,5626702,3519381
1453620,6726125,966248230,966-24-8230,6454125,5626703,3519382
1453621,6726124,365299472,365-29-9472,6452935,5626704,3519383
1453622,6726123,371384960,371-38-4960,6453658,5626705,3519384
1453623,6726122,243462193,243-46-2193,6619519,5626706,3519385
1453624,6726121,747271520,747-27-1520,6453104,5626707,3519386
1453625,6726120,845641647,845-64-1647,6453334,5626708,3519387
1453626,6726119,284142021,284-14-2021,6453101,5626709,3519388
1453627,6726118,725659492,725-65-9492,6618544,5626710,3519389
1453628,6726117,866447157,866-44-7157,6619130,5626711,3519390
1453629,6726116,375253946,375-25-3946,6453442,5626712,3519391
1453630,6726115,471855025,471-85-5025,6453149,5626713,3519392
1453631,6726114,261140105,261-14-0105,6453377,5626714,3519393
1453632,6726113,335887658,335-88-7658,6618747,5626715,3519394
1453633,6726112,822565073,822-56-5073,6619578,5626716,3519395
1453634,6726111,248306008,248-30-6008,6618763,5626717,3519396
1453635,6726110,378684386,378-68-4386,6618717,5626718,3519397
1453636,6726109,347016402,347-01-6402,6618659,5626719,3519398
1453637,6726108,183970435,183-97-0435,6618915,5626720,3519399
1453638,6726107,835041246,835-04-1246,6620206,5626721,3519400
1453639,6726106,397560812,397-56-0812,6622380,5626722,3519401
1453640,6726105,253073336,253-07-3336,6452789,5626723,3519402
1453641,6726104,462878990,462-87-8990,6453357,5626724,3519403
1453642,6726103,888456241,888-45-6241,6453641,5626725,3519404
1453643,6726102,796003578,796-00-3578,6622503,5626726,3519405
1453644,6726101,911163925,911-16-3925,6618620,5626727,3519406
1453645,6726100,152463832,152-46-3832,6618678,5626728,3519407
1453646,6726099,678106722,678-10-6722,6618761,5626729,3519408
1453647,6726098,616106047,616-10-6047,6618573,5626730,3519409
1453648,6726097,648331143,648-33-1143,6453073,5626731,3519410
1453649,6726096,756464259,756-46-4259,6619672,5626732,3519411
1453650,6726095,922319380,922-31-9380,6620133,5626733,3519412
1453651,6726094,987775531,987-77-5531,6619103,5626734,3519413
1453652,6726093,457777007,457-77-7007,6619111,5626735,3519414
1453653,6726092,226767405,226-76-7405,6452838,5626736,3519415
1453654,6726091,533139560,533-13-9560,6452848,5626737,3519416
1453655,6726090,496414577,496-41-4577,6619894,5626738,3519417
1453656,6726089,449500407,449-50-0407,6453561,5626739,3519418
1453657,6726088,361352261,361-35-2261,6452782,5626740,3519419
1453658,6726087,671675348,671-67-5348,6619260,5626741,3519420
1453659,6726086,417396558,417-39-6558,6618585,5626742,3519421
1453660,6726085,619239211,619-23-9211,6452872,5626743,3519422
1453661,6726084,684273499,684-27-3499,6619420,5626744,3519423
1453662,6726083,581767633,581-76-7633,6618889,5626745,3519424
1453663,6726082,412878202,412-87-8202,6619106,5626746,3519425
1453664,6726081,468966647,468-96-6647,6619015,5626747,3519426
1453665,6726080,348087779,348-08-7779,6618555,5626748,3519427
1453666,6726079,871836331,871-83-6331,6618442,5626749,3519428
1453667,6726078,325254017,325-25-4017,6452810,5626750,3519429
1453668,6726077,346640246,346-64-0246,6452966,5626751,3519430
1453669,6726076,521701858,521-70-1858,6618820,5626752,3519431
1453670,6726075,429697213,429-69-7213,6619537,5626753,3519432
1453671,6726074,178927713,178-92-7713,6453141,5626754,3519433
1453672,6726073,488614331,488-61-4331,6453364,5626755,3519434
1453673,6726072,568638277,568-63-8277,6618557,5626756,3519435
1453674,6726071,182366593,182-36-6593,6619602,5626757,3519436
1453675,6726070,711430743,711-43-0743,6619936,5626758,3519437
1453676,6726069,285821633,285-82-1633,6452975,5626759,3519438
1453677,6726068,986200362,986-20-0362,6619214,5626760,3519439
1453678,6726067,152960550,152-96-0550,6452797,5626761,3519440
1453679,6726066,533669348,533-66-9348,6618954,5626762,3519441
1453680,6726065,963942092,963-94-2092,6619062,5626763,3519442
1453681,6726064,465776683,465-77-6683,6619401,5626764,3519443
1453682,6726063,751427226,751-42-7226,6453042,5626765,3519444
1453683,6726062,141577040,141-57-7040,6620558,5626766,3519445
1453684,6726061,476156852,476-15-6852,6618538,5626767,3519446
1453685,6726060,476818367,476-81-8367,6618990,5626768,3519447
1453686,6726059,392296023,392-29-6023,6452970,5626769,3519448
1453687,6726058,154227091,154-22-7091,6452803,5626770,3519449
1453688,6726057,891063350,891-06-3350,6619898,5626771,3519450
1453689,6726056,654341634,654-34-1634,6452815,5626772,3519451
1453690,6726055,481846582,481-84-6582,6453017,5626773,3519452
1453691,6726054,559386782,559-38-6782,6452968,5626774,3519453
1453692,6726053,746856297,746-85-6297,6619722,5626775,3519454
1453693,6726052,961799792,961-79-9792,6619331,5626776,3519455
1453694,6726051,512932608,512-93-2608,6620130,5626777,3519456
1453695,6726050,269837029,269-83-7029,6619090,5626778,3519457
1453696,6726049,694043841,694-04-3841,6453321,5626779,3519458
1453697,6726048,746248978,746-24-8978,6618484,5626780,3519459
1453698,6726047,115734193,115-73-4193,6619822,5626781,3519460
1453699,6726046,212844505,212-84-4505,6452742,5626782,3519461
1453700,6726045,565116224,565-11-6224,6618667,5626783,3519462
1453701,6726044,877423886,877-42-3886,6619270,5626784,3519463
1453702,6726043,155751696,155-75-1696,6618736,5626785,3519464
1453703,6726042,145043123,145-04-3123,6453223,5626786,3519465
1453704,6726041,975632151,975-63-2151,6618560,5626787,3519466
1453705,6726040,637521373,637-52-1373,6452969,5626788,3519467
1453706,6726039,391550428,391-55-0428,6453166,5626789,3519468
1453707,6726038,547695426,547-69-5426,6453161,5626790,3519469
1453708,6726037,855338190,855-33-8190,6618584,5626791,3519470
1453709,6726036,162397896,162-39-7896,6618510,5626792,3519471
1453710,6726035,461591299,461-59-1299,6453030,5626793,3519472
1453711,6726034,449808571,449-80-8571,6452723,5626794,3519473
1453712,6726033,321846341,321-84-6341,6452831,5626795,3519474
1453713,6726032,936554766,936-55-4766,6618612,5626796,3519475
1453714,6726031,421429980,421-42-9980,6453262,5626797,3519476
1453715,6726030,231777586,231-77-7586,6619365,5626798,3519477
1453716,6726029,969889773,969-88-9773,6453512,5626799,3519478
1453717,6726028,927575930,927-57-5930,6453639,5626800,3519479
1453718,6726027,427633431,427-63-3431,6620147,5626801,3519480
1453719,6726026,184276781,184-27-6781,6452820,5626802,3519481
1453720,6726025,115455700,115-45-5700,6453063,5626803,3519482
1453721,6726024,971253016,971-25-3016,6453067,5626804,3519483
1453722,6726023,942717231,942-71-7231,6454169,5626805,3519484
1453723,6726022,356995102,356-99-5102,6452717,5626806,3519485
1453724,6726021,815292389,815-29-2389,6452731,5626807,3519486
1453725,6726020,643924577,643-92-4577,6453066,5626808,3519487
1453726,6726019,231201233,231-20-1233,6618567,5626809,3519488
1453727,6726018,358760793,358-76-0793,6453032,5626810,3519489
1453728,6726017,844607240,844-60-7240,6452887,5626811,3519490
1453729,6726016,883378453,883-37-8453,6452793,5626812,3519491
1453730,6726015,523599942,523-59-9942,6453074,5626813,3519492
1453731,6726014,367728471,367-72-8471,6453099,5626814,3519493
1453732,6726013,299312131,299-31-2131,6452904,5626815,3519494
1453733,6726012,864436121,864-43-6121,6619485,5626816,3519495
1453734,6726011,658203778,658-20-3778,6452914,5626817,3519496
1453735,6726010,497352424,497-35-2424,6453547,5626818,3519497
1453736,6726009,184233455,184-23-3455,6452863,5626819,3519498
1453737,6726008,619857199,619-85-7199,6618441,5626820,3519499
1453738,6726007,178001701,178-00-1701,6453431,5626821,3519500
1453739,6726006,182864330,182-86-4330,6453291,5626822,3519501
1453740,6726005,334902693,334-90-2693,6620485,5626823,3519502
1453741,6726004,872693858,872-69-3858,6452830,5626824,3519503
1453742,6726003,285080481,285-08-0481,6620393,5626825,3519504
1453743,6726002,154608930,154-60-8930,6618900,5626826,3519505
1453744,6726001,733953485,733-95-3485,6453378,5626827,3519506
1453745,6726000,384513795,384-51-3795,6619226,5626828,3519507
1453746,6725999,491006818,491-00-6818,6618783,5626829,3519508
1453747,6725998,481598352,481-59-8352,6452885,5626830,3519509
1453748,6725997,557138875,557-13-8875,6453465,5626831,3519510
1453749,6725996,495210301,495-21-0301,6453532,5626832,3519511
1453750,6725995,638661270,638-66-1270,6453601,5626833,3519512
1453751,6725994,926310347,926-31-0347,6618572,5626834,3519513
1453752,6725993,785723598,785-72-3598,6452755,5626835,3519514
1453753,6725992,392878585,392-87-8585,6452783,5626836,3519515
1453754,6725991,241625320,241-62-5320,6453627,5626837,3519516
1453755,6725990,413432757,413-43-2757,6618791,5626838,3519517
1453756,6725989,523312192,523-31-2192,6452899,5626839,3519518
1453757,6725988,985357897,985-35-7897,6452953,5626840,3519519
1453758,6725987,312240970,312-24-0970,6620657,5626841,3519520
1453759,6725986,666782839,666-78-2839,6618918,5626842,3519521
1453760,6725985,693038620,693-03-8620,6452807,5626843,3519522
1453761,6725984,861108217,861-10-8217,6620169,5626844,3519523
1453762,6725983,522159143,522-15-9143,6618874,5626845,3519524
1453763,6725982,475021914,475-02-1914,6618888,5626846,3519525
1453764,6725981,946188154,946-18-8154,6452957,5626847,3519526
1453765,6725980,113281362,113-28-1362,6453157,5626848,3519527
1453766,6725979,437781269,437-78-1269,6619355,5626849,3519528
1453767,6725978,594875232,594-87-5232,6618907,5626850,3519529
1453768,6725977,942654001,942-65-4001,6619332,5626851,3519530
1453769,6725976,734051361,734-05-1361,6452934,5626852,3519531
1453770,6725975,738201965,738-20-1965,6618803,5626853,3519532
1453771,6725974,411522509,411-52-2509,6618436,5626854,3519533
1453772,6725973,144962974,144-96-2974,6452924,5626855,3519534
1453773,6725972,938083820,938-08-3820,6618713,5626856,3519535
1453774,6725971,187756031,187-75-6031,6452695,5626857,3519536
1453775,6725970,887308081,887-30-8081,6452943,5626858,3519537
1453776,6725969,382066577,382-06-6577,6618422,5626859,3519538
1453777,6725968,164671669,164-67-1669,6452825,5626860,3519539
1453778,6725967,984451811,984-45-1811,6619394,5626861,3519540
1453779,6725966,494572481,494-57-2481,6453339,5626862,3519541
1453780,6725965,499075308,499-07-5308,6618480,5626863,3519542
1453781,6725964,731328319,731-32-8319,6452667,5626864,3519543
1453782,6725963,597306059,597-30-6059,6452951,5626865,3519544
1453783,6725962,161807706,161-80-7706,6452822,5626866,3519545
1453784,6725961,149115015,149-11-5015,6618508,5626867,3519546
1453785,6725960,836177770,836-17-7770,6618795,5626868,3519547
1453786,6725959,657312991,657-31-2991,6618731,5626869,3519548
1453787,6725958,799550600,799-55-0600,6453481,5626870,3519549
1453788,6725957,889789927,889-78-9927,6452932,5626871,3519550
1453789,6725956,323666558,323-66-6558,6453061,5626872,3519551
1453790,6725955,952222217,952-22-2217,6452852,5626873,3519552
1453791,6725954,564069458,564-06-9458,6618496,5626874,3519553
1453792,6725953,775860794,775-86-0794,6453137,5626875,3519554
1453793,6725952,563597155,563-59-7155,6618559,5626876,3519555
1453794,6725951,587725287,587-72-5287,6453043,5626877,3519556
1453795,6725950,753746631,753-74-6631,6618537,5626878,3519557
1453796,6725949,365436487,365-43-6487,6619456,5626879,3519558
1453797,6725948,551557576,551-55-7576,6618420,5626880,3519559
1453798,6725947,391530661,391-53-0661,6618628,5626881,3519560
1453799,6725946,218235139,218-23-5139,6452894,5626882,3519561
1453800,6725945,731733851,731-73-3851,6453145,5626883,3519562
1453801,6725944,949223472,949-22-3472,6618847,5626884,3519563
1453802,6725943,574508927,574-50-8927,6453085,5626885,3519564
1453803,6725942,986823921,986-82-3921,6452703,5626886,3519565
1453804,6725941,247430392,247-43-0392,6618413,5626887,3519566
1453805,6725940,378402694,378-40-2694,6452766,5626888,3519567
1453806,6725939,348194664,348-19-4664,6452997,5626889,3519568
1453807,6725938,729929031,729-92-9031,6619826,5626890,3519569
1453808,6725937,235398786,235-39-8786,6619124,5626891,3519570
1453809,6725936,868577143,868-57-7143,6452859,5626892,3519571
1453810,6725935,861590964,861-59-0964,6452694,5626893,3519572
1453811,6725934,676833976,676-83-3976,6618419,5626894,3519573
1453812,6725933,396519416,396-51-9416,6453176,5626895,3519574
1453813,6725932,753830950,753-83-0950,6453136,5626896,3519575
1453814,6725931,922335365,922-33-5365,6618428,5626897,3519576
1453815,6725930,416186072,416-18-6072,6618634,5626898,3519577
1453816,6725929,595322190,595-32-2190,6618531,5626899,3519578
1453817,6725928,219555637,219-55-5637,6619651,5626900,3519579
1453818,6725927,257650604,257-65-0604,6453125,5626901,3519580
1453819,6725926,596127436,596-12-7436,6453123,5626902,3519581
1453820,6725925,832298052,832-29-8052,6452713,5626903,3519582
1453821,6725924,622656348,622-65-6348,6620416,5626904,3519583
1453822,6725923,664158710,664-15-8710,6452716,5626905,3519584
1453823,6725922,258525776,258-52-5776,6453003,5626906,3519585
1453824,6725921,746248220,746-24-8220,6453078,5626907,3519586
1453825,6725920,266368910,266-36-8910,6453098,5626908,3519587
1453826,6725919,785303996,785-30-3996,6452688,5626909,3519588
1453827,6725918,636651977,636-65-1977,6619951,5626910,3519589
1453828,6725917,266788022,266-78-8022,6618369,5626911,3519590
1453829,6725916,769900780,769-90-0780,6618699,5626912,3519591
1453830,6725915,196491368,196-49-1368,6618600,5626913,3519592
1453831,6725914,315431559,315-43-1559,6452657,5626914,3519593
1453832,6725913,359189520,359-18-9520,6618913,5626915,3519594
1453833,6725912,825092702,825-09-2702,6452778,5626916,3519595
1453834,6725911,421750436,421-75-0436,6619828,5626917,3519596
1453835,6725910,269659398,269-65-9398,6618727,5626918,3519597
1453836,6725909,514355022,514-35-5022,6618373,5626919,3519598
1453837,6725908,763948640,763-94-8640,6452987,5626920,3519599
1453838,6725907,784135409,784-13-5409,6452851,5626921,3519600
1453839,6725906,463921030,463-92-1030,6619033,5626922,3519601
1453840,6725905,151307474,151-30-7474,6618851,5626923,3519602
1453841,6725904,744788292,744-78-8292,6453091,5626924,3519603
1453842,6725903,861554035,861-55-4035,6453006,5626925,3519604
1453843,6725902,533926990,533-92-6990,6618358,5626926,3519605
1453844,6725901,239718338,239-71-8338,6619612,5626927,3519606
1453845,6725900,714600831,714-60-0831,6618827,5626928,3519607
1453846,6725899,541617240,541-61-7240,6454046,5626929,3519608
1453847,6725898,897849783,897-84-9783,6618387,5626930,3519609
